study_id,site_id,latitude,longitude,sampling_year,sampling_start_month,sampling_end_month,old_site_id,year_copernicus
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_205,-4.090726265921,-38.412743600952,2012,1,12,CA4,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_206,-4.096861435464,-38.412630119455,2012,1,12,CA5,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_207,-4.100942010413,-38.391777211817,2012,1,12,CA6,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_208,-4.11186334231,-38.392550048025,2012,1,12,CA7,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_209,-4.095605725047,-38.414995932496,2012,1,12,CA8,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_210,-4.100592415949,-38.430452099943,2012,1,12,CA9,2015
Breno_M_Freitas_Anacardium_occidentale_Brazil_2012,Plot_211,-4.103558131454,-38.4321473422,2012,1,12,CA10,2015
Breno_M_Freitas_Annona_squamosa_Brazil_2013,Plot_212,-4.90453781741024,-37.9987783044429,2013,4,9,SA1,2015
Breno_M_Freitas_Bixa_orellana_Brazil_2007,Plot_213,-3.91085395580737,-38.8494852642288,2007,1,12,AN1,2015
Breno_M_Freitas_Bixa_orellana_Brazil_2007,Plot_214,-3.6407580091499,-38.8483638530602,2007,1,12,AN2,2015
Breno_M_Freitas_Bixa_orellana_Brazil_2007,Plot_215,-3.64181449161759,-38.8472002589409,2007,1,12,AN3,2015
Breno_M_Freitas_Bixa_orellana_Brazil_2007,Plot_216,-3.6426502512006,-38.846173572376,2007,1,12,AN4,2015
Breno_M_Freitas_Bixa_orellana_Brazil_2007,Plot_217,-3.64281723642992,-38.8439565654078,2007,1,12,AN5,2015
Breno_M_Freitas_Bixa_orellana_Brazil_2007,Plot_218,-3.64221127606592,-38.8450120300951,2007,1,12,AN6,2015
Breno_M_Freitas_Gossypium_hirsutum_Brazil_2011,Plot_219,-4.71815719479257,-39.1890999605973,2011,1,12,CO1,2015
Breno_M_Freitas_Gossypium_hirsutum_Brazil_2011,Plot_220,-4.71949965671212,-39.1926115698978,2011,1,12,CO2,2015
Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,Plot_221,-3.86851204744879,-41.0950445856371,2011,1,12,AC1,2015
Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,Plot_222,-3.86857708983544,-41.0910500398361,2011,1,12,AC2,2015
Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,Plot_223,-3.87555232634127,-41.0942535929857,2011,1,12,AC3,2015
Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,Plot_224,-3.87497232087295,-41.0897092535491,2011,1,12,AC4,2015
Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,Plot_225,-3.88347812767888,-41.1027280059606,2011,1,12,AC5,2015
Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,Plot_226,-3.88320954005859,-41.0973211876112,2011,1,12,AC6,2015
Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,Plot_227,-3.89134422754456,-41.1017708568167,2011,1,12,AC7,2015
Breno_M_Freitas_Malpighia_emarginata_Brazil_2011,Plot_228,-3.8931822158019598,-41.0959875366017,2011,1,12,AC8,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_238,-25.1581,152.351,2015,9,9,avo_1,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_239,-34.072,140.837,2015,10,10,avo_10,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_240,-34.1258,140.664,2015,10,10,avo_11,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_241,-34.0694,140.817,2015,10,10,avo_12,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_242,-25.1411,152.362,2015,9,9,avo_2,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_243,-25.1294,152.38,2015,9,9,avo_3,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_244,-25.1231,152.123,2015,9,9,avo_5,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_245,-25.114,152.152,2015,9,9,avo_6,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_246,-25.1666,152.247,2015,9,9,avo_7,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_247,-34.1432,140.671,2015,10,10,avo_8,2015
Bryony_Willcox_Persea_americana_Australia_2015,Plot_248,-34.1422,140.702,2015,10,10,avo_9,2015
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,Plot_265,19.2110667,-96.8997333,2004,5,5,MIR1,2015
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,Plot_266,19.2135333,-96.8995167,2004,5,5,MIR2,2015
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,Plot_267,19.2098833,-96.8965,2004,5,5,MIR3,2015
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,Plot_268,19.2101167,-96.8876667,2004,5,5,MIR4,2015
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,Plot_269,19.2055833,-96.8977333,2004,5,5,ORD1,2015
Carlos_H_Vergara_Coffea_arabica_Mexico_2004,Plot_270,19.20565,-96.89855,2004,5,5,ORD2,2015
